Monitoreo,Nombre_punto,Norte,Este,Elevacion,Fecha,Altura_tanque,Nivel_tanque
12,PUNTO - 7,395.403,384.328,100.299,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 8,399.964,375.497,100.291,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 9,406.375,367.721,100.307,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 10,411.155,363.659,100.314,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 11,419.737,358.65,100.338,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 12,429.185,355.583,100.333,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 13,439.113,354.604,100.324,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 14,448.977,355.755,100.312,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 15,458.355,358.97,100.309,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 16,466.867,364.119,100.3,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 17,474.077,370.969,100.295,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 18,479.665,379.192,100.291,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 19,483.345,388.433,100.295,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 20,484.996,398.207,100.306,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 21,484.499,408.271,100.317,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 22,482.091,417.916,100.306,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 23,477.402,426.594,100.293,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 24,471.082,434.245,100.291,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 25,463.241,440.389,100.293,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 26,454.267,444.716,100.289,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 27,444.891,446.975,100.286,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 28,434.971,447.216,100.288,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 29,425.223,445.378,100.296,05 SEPTIEMBRE 2015,3.614,0
12,PUNTO - 30,416.077,441.503,100.31,05 SEPTIEMBRE 2015,3.614,0
15,PUNTO - 1 = 127º,410.57,437.929,100.32,07 ENERO 2016,3.61,0
15,PUNTO - 2,403.36,431.075,100.331,07 ENERO 2016,3.61,0
15,PUNTO - 3,397.758,422.843,100.337,07 ENERO 2016,3.61,0
15,PUNTO - 4,394.053,413.625,100.341,07 ENERO 2016,3.61,0
15,PUNTO - 5,392.378,403.844,100.34,07 ENERO 2016,3.61,0
15,PUNTO - 6,392.834,393.922,100.318,07 ENERO 2016,3.61,0
15,PUNTO - 7,395.403,384.328,100.299,07 ENERO 2016,3.61,0
15,PUNTO - 8,399.964,375.498,100.291,07 ENERO 2016,3.61,0
15,PUNTO - 9,406.375,367.722,100.305,07 ENERO 2016,3.61,0
15,PUNTO - 10,411.155,363.66,100.313,07 ENERO 2016,3.61,0
15,PUNTO - 11,419.737,358.652,100.336,07 ENERO 2016,3.61,0
15,PUNTO - 12,429.182,355.583,100.332,07 ENERO 2016,3.61,0
15,PUNTO - 13,439.11,354.601,100.323,07 ENERO 2016,3.61,0
15,PUNTO - 14,448.975,355.751,100.311,07 ENERO 2016,3.61,0
15,PUNTO - 15,458.352,358.966,100.308,07 ENERO 2016,3.61,0
15,PUNTO - 16,466.866,364.114,100.299,07 ENERO 2016,3.61,0
15,PUNTO - 17,474.079,370.964,100.293,07 ENERO 2016,3.61,0
15,PUNTO - 18,479.662,379.186,100.29,07 ENERO 2016,3.61,0
15,PUNTO - 19,483.343,388.425,100.293,07 ENERO 2016,3.61,0
15,PUNTO - 20,484.994,398.199,100.304,07 ENERO 2016,3.61,0
15,PUNTO - 21,484.498,408.264,100.315,07 ENERO 2016,3.61,0
15,PUNTO - 22,482.091,417.91,100.304,07 ENERO 2016,3.61,0
15,PUNTO - 23,477.404,426.59,100.291,07 ENERO 2016,3.61,0
15,PUNTO - 24,471.084,434.238,100.29,07 ENERO 2016,3.61,0
15,PUNTO - 25,463.244,440.382,100.292,07 ENERO 2016,3.61,0
15,PUNTO - 26,454.271,444.71,100.287,07 ENERO 2016,3.61,0
15,PUNTO - 27,444.895,446.969,100.284,07 ENERO 2016,3.61,0
15,PUNTO - 28,434.974,447.211,100.285,07 ENERO 2016,3.61,0
15,PUNTO - 29,425.224,445.373,100.295,07 ENERO 2016,3.61,0
15,PUNTO - 30,416.079,441.501,100.308,07 ENERO 2016,3.61,0
16,PUNTO - 1 = 127º,410.571,437.928,100.32,30 ABRIL 2016,3.159,0
16,PUNTO - 2,403.36,431.075,100.331,30 ABRIL 2016,3.159,0
16,PUNTO - 3,397.76,422.843,100.338,30 ABRIL 2016,3.159,0
16,PUNTO - 4,394.055,413.624,100.342,30 ABRIL 2016,3.159,0
16,PUNTO - 5,392.379,403.843,100.341,30 ABRIL 2016,3.159,0
16,PUNTO - 6,392.835,393.922,100.32,30 ABRIL 2016,3.159,0
16,PUNTO - 7,395.403,384.327,100.3,30 ABRIL 2016,3.159,0
16,PUNTO - 8,399.964,375.498,100.292,30 ABRIL 2016,3.159,0
16,PUNTO - 9,406.375,367.721,100.305,30 ABRIL 2016,3.159,0
16,PUNTO - 10,411.154,363.659,100.314,30 ABRIL 2016,3.159,0
16,PUNTO - 11,419.736,358.65,100.338,30 ABRIL 2016,3.159,0
16,PUNTO - 12,429.182,355.581,100.334,30 ABRIL 2016,3.159,0
16,PUNTO - 13,439.109,354.601,100.324,30 ABRIL 2016,3.159,0
16,PUNTO - 14,448.973,355.751,100.313,30 ABRIL 2016,3.159,0
16,PUNTO - 15,458.351,358.967,100.309,30 ABRIL 2016,3.159,0
16,PUNTO - 16,466.863,364.115,100.3,30 ABRIL 2016,3.159,0
16,PUNTO - 17,474.076,370.965,100.295,30 ABRIL 2016,3.159,0
16,PUNTO - 18,479.664,379.189,100.291,30 ABRIL 2016,3.159,0
16,PUNTO - 19,483.345,388.429,100.295,30 ABRIL 2016,3.159,0
16,PUNTO - 20,484.997,398.202,100.306,30 ABRIL 2016,3.159,0
16,PUNTO - 21,484.5,408.267,100.317,30 ABRIL 2016,3.159,0
16,PUNTO - 22,482.093,417.911,100.306,30 ABRIL 2016,3.159,0
16,PUNTO - 23,477.404,426.591,100.293,30 ABRIL 2016,3.159,0
16,PUNTO - 24,471.084,434.24,100.292,30 ABRIL 2016,3.159,0
